import time: self [us] | cumulative | imported package
import time:       154 |        154 |   _io
import time:        38 |         38 |   marshal
import time:       159 |        159 |   nt
import time:        65 |         65 |   winreg
import time:       532 |        945 | _frozen_importlib_external
import time:       656 |        656 |   time
import time:       205 |        861 | zipimport
import time:        69 |         69 |     _codecs
import time:      1377 |       1445 |   codecs
import time:      1090 |       1090 |   encodings.aliases
import time:      3202 |       5736 | encodings
import time:       571 |        571 | encodings.utf_8
import time:       591 |        591 | encodings.cp1252
import time:        47 |         47 | _signal
import time:        52 |         52 |     _abc
import time:       867 |        918 |   abc
import time:       878 |       1796 | io
import time:        72 |         72 |       _stat
import time:       815 |        886 |     stat
import time:      1426 |       1426 |     _collections_abc
import time:       740 |        740 |       genericpath
import time:       137 |        137 |       _winapi
import time:      1438 |       2314 |     ntpath
import time:      1242 |       5866 |   os
import time:       858 |        858 |   _sitebuiltins
import time:      1639 |       1639 |   _distutils_hack
import time:       928 |        928 |   types
import time:       850 |        850 |       warnings
import time:       903 |       1752 |     importlib
import time:       532 |        532 |     importlib._abc
import time:       124 |        124 |         itertools
import time:       775 |        775 |         keyword
import time:        81 |         81 |           _operator
import time:      1247 |       1327 |         operator
import time:       800 |        800 |         reprlib
import time:        67 |         67 |         _collections
import time:      1426 |       4515 |       collections
import time:        64 |         64 |         _functools
import time:      1170 |       1234 |       functools
import time:      1048 |       6796 |     contextlib
import time:       890 |       9969 |   importlib.util
import time:       594 |        594 |   importlib.machinery
import time:       532 |        532 |   sitecustomize
import time:      4399 |      24781 | site
import time:       957 |        957 |       _weakrefset
import time:      1028 |       1984 |     weakref
import time:       823 |        823 |       __future__
import time:      1332 |       1332 |           enum
import time:       560 |       1892 |         numpy._globals
import time:       400 |        400 |         numpy.__config__
import time:        74 |         74 |                 _sre
import time:      1033 |       1033 |                   sre_constants
import time:      1030 |       2062 |                 sre_parse
import time:       949 |       3085 |               sre_compile
import time:        52 |         52 |               _locale
import time:       912 |        912 |               copyreg
import time:      1096 |       5143 |             re
import time:       864 |        864 |               posixpath
import time:       856 |       1720 |             fnmatch
import time:      1068 |       7930 |           glob
import time:      1872 |       1872 |             _ctypes
import time:        81 |         81 |               _struct
import time:       818 |        898 |             struct
import time:       826 |        826 |             ctypes._endian
import time:      1528 |       5123 |           ctypes
import time:      1205 |      14257 |         numpy._distributor_init
import time:        54 |         54 |                     _json
import time:       774 |        828 |                   json.scanner
import time:      1002 |       1829 |                 json.decoder
import time:       810 |        810 |                 json.encoder
import time:       960 |       3598 |               json
import time:       272 |       3870 |             numpy._version
import time:       318 |       4188 |           numpy.version
import time:        71 |         71 |                   math
import time:       107 |        107 |                   _datetime
import time:      1598 |       1775 |                 datetime
import time:      2829 |       4604 |               numpy.core._multiarray_umath
import time:       444 |        444 |                   numpy.compat._inspect
import time:      2018 |       2018 |                   numpy.compat._pep440
import time:        70 |         70 |                       errno
import time:       930 |        930 |                         urllib
import time:      1440 |       2370 |                       urllib.parse
import time:      1369 |       3807 |                     pathlib
import time:       589 |        589 |                     pickle5
import time:       969 |        969 |                       _compat_pickle
import time:       100 |        100 |                       _pickle
import time:       592 |        592 |                           org
import time:        20 |        612 |                         org.python
import time:        19 |        630 |                       org.python.core
import time:      1453 |       3151 |                     pickle
import time:       393 |       7938 |                   numpy.compat.py3k
import time:       492 |      10891 |                 numpy.compat
import time:        25 |      10916 |               numpy.compat._inspect
import time:       456 |      15975 |             numpy.core.overrides
import time:       888 |      16862 |           numpy.core.multiarray
import time:       355 |        355 |           numpy.core.umath
import time:      1049 |       1049 |             numbers
import time:       332 |        332 |             numpy.core._string_helpers
import time:       348 |        348 |               numpy.core._dtype
import time:       496 |        843 |             numpy.core._type_aliases
import time:       514 |       2737 |           numpy.core.numerictypes
import time:       435 |        435 |                   numpy.core._exceptions
import time:       410 |        845 |                 numpy.core._methods
import time:       907 |       1751 |               numpy.core.fromnumeric
import time:       495 |       2246 |             numpy.core.shape_base
import time:       773 |        773 |               collections.abc
import time:       381 |       1153 |             numpy.core._ufunc_config
import time:       637 |        637 |             numpy.core.arrayprint
import time:       324 |        324 |             numpy.core._asarray
import time:       954 |       5312 |           numpy.core.numeric
import time:       867 |        867 |           numpy.core.defchararray
import time:       507 |        507 |           numpy.core.records
import time:       341 |        341 |           numpy.core.memmap
import time:       356 |        356 |           numpy.core.function_base
import time:       357 |        357 |           numpy.core._machar
import time:       402 |        402 |           numpy.core.getlimits
import time:       421 |        421 |           numpy.core.einsumfunc
import time:       720 |        720 |             numpy.core._multiarray_tests
import time:      1205 |       1925 |           numpy.core._add_newdocs
import time:      1072 |       1072 |                 signal
import time:      1629 |       1629 |                 threading
